id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal
42763,"James Edward ""Jim"" Grelle",M,23.0,183.0,68.0,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,"Athletics Men's 1,500 metres",
42800,Bernhard Greulich,M,33.0,190.0,101.0,Germany,GER,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's Hammer Throw,
42803,"Matthew ""Matt"" Grevers",M,23.0,203.0,105.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
42803,"Matthew ""Matt"" Grevers",M,23.0,203.0,105.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Backstroke,Silver
42803,"Matthew ""Matt"" Grevers",M,23.0,203.0,105.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
42803,"Matthew ""Matt"" Grevers",M,27.0,203.0,105.0,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
42803,"Matthew ""Matt"" Grevers",M,27.0,203.0,105.0,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Backstroke,Gold
42803,"Matthew ""Matt"" Grevers",M,27.0,203.0,105.0,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
42806,Julia Emma Greville (-Radley),F,17.0,178.0,67.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 200 metres Freestyle,
42806,Julia Emma Greville (-Radley),F,17.0,178.0,67.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
42806,Julia Emma Greville (-Radley),F,17.0,178.0,67.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
42815,"Matthew Owen ""Matt"" Gribble",M,22.0,180.0,77.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Butterfly,
42819,"Charles Maxwell ""Charlie"" Grice",M,22.0,182.0,70.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 1,500 metres",
42833,Manfred Klaus Walter Grieser,M,22.0,181.0,91.0,Germany,GER,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Discus Throw,
42838,"Elizabeth Joyce ""Joy"" Grieveson (-Watson)",F,22.0,167.0,62.0,Great Britain,GBR,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 400 metres,
42851,Lorna Joann Griffin,F,28.0,181.0,82.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Shot Put,
42851,Lorna Joann Griffin,F,28.0,181.0,82.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Discus Throw,
42867,Michelle Amanda Griffith (-Robinson),F,24.0,172.0,65.0,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Triple Jump,
42871,Yolanda Yvette Griffith,F,30.0,193.0,81.0,United States,USA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Gold
42871,Yolanda Yvette Griffith,F,34.0,193.0,81.0,United States,USA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,Gold
42872,Delorez Florence Griffith Joyner,F,24.0,170.0,57.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 200 metres,Silver
42872,Delorez Florence Griffith Joyner,F,28.0,170.0,57.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 100 metres,Gold
42872,Delorez Florence Griffith Joyner,F,28.0,170.0,57.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 200 metres,Gold
42872,Delorez Florence Griffith Joyner,F,28.0,170.0,57.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
42872,Delorez Florence Griffith Joyner,F,28.0,170.0,57.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
42913,Tatiana Grigorieva,F,24.0,180.0,64.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Pole Vault,Silver
42949,Hollie Louise Grima (-Florance),F,24.0,190.0,84.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Silver
42961,Vanessa Grimberg,F,23.0,176.0,63.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
42977,Brbel Grimmer,F,19.0,168.0,61.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 200 metres Breaststroke,
42977,Brbel Grimmer,F,19.0,168.0,61.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
42993,David Allan Grindley,M,19.0,188.0,79.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,
42993,David Allan Grindley,M,19.0,188.0,79.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
42994,Brittney Yevette Griner,F,25.0,203.0,94.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Gold
43065,Hans Grodotzki,M,24.0,175.0,65.0,Germany,GER,1960 Summer,1960,Summer,Roma,Athletics,"Athletics Men's 5,000 metres",Silver
43065,Hans Grodotzki,M,24.0,175.0,65.0,Germany,GER,1960 Summer,1960,Summer,Roma,Athletics,"Athletics Men's 10,000 metres",Silver
43087,Klaus Grogorenz,M,23.0,180.0,75.0,Germany,GER,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Decathlon,
43112,Anna-Lena Grnefeld,F,27.0,180.0,78.0,Germany-1,GER,2012 Summer,2012,Summer,London,Tennis,Tennis Women's Doubles,
43112,Anna-Lena Grnefeld,F,31.0,180.0,78.0,Germany-1,GER,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Women's Doubles,
43133,"Margaret Keyes Groos (Lane-, Thomas-, -Sloan)",F,28.0,167.0,54.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Marathon,
43192,"Abraham Israel ""Abie"" Grossfeld",M,22.0,175.0,72.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Individual All-Around,
43192,"Abraham Israel ""Abie"" Grossfeld",M,22.0,175.0,72.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Team All-Around,
43192,"Abraham Israel ""Abie"" Grossfeld",M,22.0,175.0,72.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Floor Exercise,
43192,"Abraham Israel ""Abie"" Grossfeld",M,22.0,175.0,72.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Horse Vault,
43192,"Abraham Israel ""Abie"" Grossfeld",M,22.0,175.0,72.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Parallel Bars,
43192,"Abraham Israel ""Abie"" Grossfeld",M,22.0,175.0,72.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Horizontal Bar,
43192,"Abraham Israel ""Abie"" Grossfeld",M,22.0,175.0,72.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Rings,
43192,"Abraham Israel ""Abie"" Grossfeld",M,22.0,175.0,72.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Pommelled Horse,
43192,"Abraham Israel ""Abie"" Grossfeld",M,26.0,175.0,72.0,United States,USA,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Individual All-Around,
43192,"Abraham Israel ""Abie"" Grossfeld",M,26.0,175.0,72.0,United States,USA,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Team All-Around,
43192,"Abraham Israel ""Abie"" Grossfeld",M,26.0,175.0,72.0,United States,USA,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Floor Exercise,
43192,"Abraham Israel ""Abie"" Grossfeld",M,26.0,175.0,72.0,United States,USA,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Horse Vault,
43192,"Abraham Israel ""Abie"" Grossfeld",M,26.0,175.0,72.0,United States,USA,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Parallel Bars,
43192,"Abraham Israel ""Abie"" Grossfeld",M,26.0,175.0,72.0,United States,USA,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Horizontal Bar,
43192,"Abraham Israel ""Abie"" Grossfeld",M,26.0,175.0,72.0,United States,USA,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Rings,
43192,"Abraham Israel ""Abie"" Grossfeld",M,26.0,175.0,72.0,United States,USA,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Pommelled Horse,
43213,Kurt David Grote,M,22.0,188.0,82.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Breaststroke,
