id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal
41024,Keesja Kaia Gofers,F,26.0,176.0,64.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,
41061,"Matthew ""Matt"" Gohdes",M,26.0,180.0,80.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,
41176,Johanna Goliszewski,F,30.0,172.0,64.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Women's Doubles,
41227,Carolin Elisabeth Golubytskyi (Wutz-),F,30.0,167.0,57.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Foil, Individual",
41252,Bernardo Oneto Gomes,M,22.0,188.0,90.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,
41258,Joo Luiz Gomes Jnior,M,30.0,190.0,89.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Breaststroke,
41258,Joo Luiz Gomes Jnior,M,30.0,190.0,89.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
41356,Kaftien Antoine Gomis,M,36.0,185.0,70.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Long Jump,
41358,Sandra Gomis,F,32.0,165.0,53.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres Hurdles,
41376,Paula Cristina de Arajo Gonalves,F,25.0,173.0,68.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Women's Doubles,
